Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
Nederland;;;27.9
GM0014;Totaal;Groningen;25.6
;WK001400;Centrum;22.5
;WK001401;Oud-Zuid;25.5
;WK001402;Oud-West;25.9
;WK001403;Oud-Noord;21.1
;WK001404;Oosterparkwijk;23.5
;WK001405;Zuidoost;34.9
;WK001406;Helpman e.o.;31.7
;WK001407;Zuidwest;30
;WK001408;Hoogkerk e.o.;25.2
;WK001409;Nieuw-West;22.7
;WK001410;Noordwest;19.7
;WK001411;Noordoost;23.6
;WK001412;Noorddijk e.o.;24.5
;WK001413;Meerdorpen;30
;WK001414;Meerstad e.o.;30.6
;WK001415;Ten Boer e.o.;25
;WK001416;Ten Post e.o.;26
;WK001417;Haren-West e.o.;36.1
;WK001418;Haren-Oost e.o.;27.2
;WK001419;Glimmen-Onnen-Noordlaren;35.5
GM0034;Totaal;Almere;26.9
;WK003401;Centrum Almere Haven;25.7
;WK003402;De Werven;22.2
;WK003403;De Hoven;22.3
;WK003404;De Meenten;26.2
;WK003405;De Grienden;25.1
;WK003406;De Marken;24.6
;WK003407;De Gouwen;28.1
;WK003408;De Wierden;19.9
;WK003409;De Velden;40.4
;WK003410;Overgooi;55.5
;WK003411;De Laren;22.8
;WK003414;De Steiger;.
;WK003415;Stichtsekant;.
;WK003416;Overig Almere Haven;.
;WK003417;Centrum Almere Stad;29.2
;WK003418;Filmwijk;27.7
;WK003419;Danswijk;24.5
;WK003420;Parkwijk;28.6
;WK003421;Verzetswijk;29.1
;WK003422;Waterwijk;25.7
;WK003423;Tussen de Vaarten Noord;25.4
;WK003424;Tussen de Vaarten Zuid;27
;WK003425;Staatsliedenwijk;19.6
;WK003426;Kruidenwijk;24.3
;WK003427;Stedenwijk;21.1
;WK003428;Muziekwijk Noord;28.5
;WK003429;Muziekwijk Zuid;26.3
;WK003430;Literatuurwijk;27.8
;WK003431;Noorderplassen;34.4
;WK003432;Hortus;.
;WK003434;Randstad;.
;WK003435;Markerkant;.
;WK003436;Hollandsekant;.
;WK003437;Gooisekant;.
;WK003438;Veluwsekant;.
;WK003439;Sallandsekant;.
;WK003440;Overig Almere Stad;.
;WK003441;Centrum Almere Buiten;23.3
;WK003442;Oostvaardersbuurt;26.3
;WK003443;Seizoenenbuurt;27.5
;WK003444;Molenbuurt;21.5
;WK003445;Bouwmeesterbuurt;23.2
;WK003446;Landgoederenbuurt;26.3
;WK003447;Faunabuurt;27
;WK003448;Bloemenbuurt;25.2
;WK003449;Regenboogbuurt;26.2
;WK003450;Indischebuurt;24.3
;WK003451;Eilandenbuurt;28.2
;WK003452;Stripheldenbuurt;27.4
;WK003453;Sieradenbuurt;34.2
;WK003456;Poldervlak;.
;WK003457;De Vaart;.
;WK003458;Buitenvaart;29.7
;WK003459;Overig Almere Buiten;.
;WK003460;Europakwartier Oost;.
;WK003461;Europakwartier West;29.7
;WK003462;Columbuskwartier;28.6
;WK003463;Homeruskwartier;28.7
;WK003464;Olympiakwartier Oost;.
;WK003465;Olympiakwartier West;14.7
;WK003466;Duin;36.9
;WK003471;Hogekant;.
;WK003472;Middenkant;.
;WK003473;Lagekant;.
;WK003474;Overig Almere Poort;.
;WK003475;Vogelhorst;48.8
;WK003476;Nobelhorst;29.9
;WK003477;Oosterwold;34
;WK003479;Twentsekant;.
;WK003485;Overig Almere Hout;.
;WK003496;Overig Almere Pampus;.
GM0037;Totaal;Stadskanaal;22.6
;WK003701;Stadskanaal;22.7
;WK003702;Musselkanaal;21.9
;WK003703;Onstwedde;22.5
;WK003704;Mussel;24.3
;WK003705;Alteveer;24.5
GM0047;Totaal;Veendam;23.6
;WK004700;Wijk 00 Veendam-kern;22.6
;WK004701;Wijk 01 Veendam-buitengebied;26.1
;WK004702;Wijk 02 Wildervank;26.3
GM0050;Totaal;Zeewolde;28.1
;WK005000;Wijk 00;28.1
GM0059;Totaal;Achtkarspelen;22
;WK005900;Wijk 00 Noord;22
;WK005901;Wijk 01 Centrum;22.5
;WK005902;Wijk 02 Zuid;21.8
GM0060;Totaal;Ameland;24.3
;WK006000;Wijk 00;24.3
GM0072;Totaal;Harlingen;23.9
;WK007200;Wijk 00 Harlingen;23.7
;WK007201;Wijk 01 Midlum;26.8
;WK007202;Wijk 02 Wijnaldum;24.2
GM0074;Totaal;Heerenveen;25.9
;WK007401;Wijk 01 Heerenveen;25.7
;WK007402;Wijk 02 Noord-Heerenveen;25.9
;WK007403;Wijk 03 Hoornsterzwaag;28.4
;WK007404;Wijk 04 Jubbega;24.5
;WK007406;Wijk 06 Oranjewoud;33.3
;WK007407;Skarsterlân;25.1
;WK007409;Boarnsterhim;26.2
GM0080;Totaal;Leeuwarden;24.5
;WK008010;Binnenstad;22.6
;WK008011;Potmargezone;22
;WK008020;Oud-Oost;20.9
;WK008030;Sonnenborgh e.o.;26.4
;WK008031;Westeinde e.o.;24.2
;WK008032;Vossepark & Helicon;28.4
;WK008040;Huizum-West;23.8
;WK008041;Nijlân & De Zwette;22.6
;WK008050;Heechterp & Schieringen;17.6
;WK008051;Camminghaburen e.o.;25.5
;WK008060;Bilgaard & Havankpark e.o.;18.9
;WK008061;Vrijheidswijk;18.1
;WK008062;Dokkumer Ie e.o.;28.5
;WK008063;Stiens e.o.;25.3
;WK008070;Aldlân & De Hemrik;25.6
;WK008071;Goutum;30.4
;WK008072;Hempens/Teerns & Zuiderburen;32.4
;WK008073;De Zuidlanden;27.5
;WK008074;Middelsee;.
;WK008080;Dorpen Zuid-Oost;25.3
;WK008081;Dorpen Zuid-West;26.9
;WK008082;Grou e.o.;26.4
GM0085;Totaal;Ooststellingwerf;24.2
;WK008501;Appelscha;25.1
;WK008502;Donkerbroek;24.4
;WK008503;Elsloo;24.1
;WK008504;Fochteloo;30.9
;WK008505;Haule;26.1
;WK008506;Haulerwijk;23.1
;WK008507;Langedijke;27.1
;WK008508;Makkinga;27.9
;WK008509;Nijeberkoop;25.5
;WK008510;Oldeberkoop;26
;WK008511;Oosterwolde;22.8
;WK008512;Ravenswoud;28.1
;WK008513;Waskemeer;23.8
GM0086;Totaal;Opsterland;25.4
;WK008601;Bakkeveen;27.2
;WK008602;Beetsterzwaag;29.8
;WK008604;Frieschepalen;24.7
;WK008605;Gorredijk;23.4
;WK008606;Hemrik;26.7
;WK008607;Jonkerslân;27.4
;WK008608;Langezwaag;25.7
;WK008609;Lippenhuizen;25.9
;WK008610;Luxwoude;26.9
;WK008611;Nij Beets;25.5
;WK008613;Siegerswoude;30.7
;WK008614;Terwispel;25.4
;WK008615;Tijnje;25.3
;WK008616;Ureterp;23.8
;WK008617;Wijnjewoude;24.1
GM0088;Totaal;Schiermonnikoog;26.8
;WK008800;Wijk 00;26.8
GM0090;Totaal;Smallingerland;24.4
;WK009000;Wijk 00 Drachten;24.1
;WK009001;Wijk 01 Overig Smallingerland;25.8
GM0093;Totaal;Terschelling;27.6
